mV_1,uA_1,filter_uA_1,mV_2,uA_2,filter_uA_2,mV_3,uA_3,filter_uA_3,mV_4,uA_4,filter_uA_4,mV_5,uA_5,filter_uA_5
-200.0,2.08492,2.0849199998769175,-200.0,-18.7773,-18.77730000013624,-200.0,-21.85628,-21.856280000103844,-200.0,-23.06485,-23.06485000010691,-200.0,-23.78424,-23.784240000118466
-190.0,2.11368,2.42902121957183,-190.0,-18.08669,-17.60730542652635,-190.0,-21.07934,-20.61268192130906,-190.0,-22.28791,-21.789731364798783,-190.0,-22.94975,-22.49235193157346
-180.0,2.08492,2.762736003815808,-180.0,-17.42486,-16.457422930169198,-180.0,-20.38873,-19.390024521575857,-180.0,-21.56853,-20.53599593207685,-180.0,-22.25913,-21.222003325501902
-170.0,2.08492,3.0759087074146247,-170.0,-16.7918,-15.347056833439538,-170.0,-19.75567,-18.208499427916806,-170.0,-20.90669,-19.32425234937594,-170.0,-21.5973,-19.993947093790172
-160.0,6.89042,3.358911595527799,-160.0,-7.00814,-14.294107997599014,-160.0,-9.33895,-17.08671053579366,-160.0,-10.20221,-18.17346685599371,-160.0,-10.74895,-18.827271733713015
-150.0,3.00573,3.602991732305804,-150.0,-13.54017,-13.314160876275071,-150.0,-16.24506,-16.040821377313687,-150.0,-17.28098,-17.100080329333185,-150.0,-17.88527,-17.738511785098332
-140.0,2.83308,3.8005506294944125,-140.0,-13.48261,-12.41991683983976,-140.0,-16.15873,-15.083967475024199,-140.0,-17.22343,-16.117398687199984,-140.0,-17.82772,-16.74103809687553
-130.0,2.77553,3.9452798038239925,-130.0,-13.22364,-11.621059962553348,-130.0,-15.89976,-14.22613248758626,-130.0,-16.93567,-15.235462699772244,-130.0,-17.56873,-15.844937443168824
-120.0,2.74675,4.03224923459323,-120.0,-12.9071,-10.924397561059722,-120.0,-15.55445,-13.474323542490076,-120.0,-16.59037,-14.461228761007101,-120.0,-17.22343,-15.05721232715562
-110.0,2.71797,4.058136904953875,-110.0,-12.5618,-10.333917261737138,-110.0,-15.23792,-12.832666860995005,-110.0,-16.24506,-13.798671157441317,-110.0,-16.84935,-14.381906035201627
-100.0,2.68919,4.021729112322022,-100.0,-12.24527,-9.850488145732616,-100.0,-14.86384,-12.302132412978166,-100.0,-15.87098,-13.248506538650414,-100.0,-16.50404,-13.819847397971502
-90.0,7.86878,3.924720800793382,-90.0,-2.74937,-9.4711092509959,-90.0,-4.8212,-11.87977995505111,-90.0,-5.54058,-12.807430354634398,-90.0,-6.05855,-13.367901060868984
-80.0,3.49491,3.772721864370916,-80.0,-9.68426,-9.187828574889355,-80.0,-12.04384,-11.557651507490814,-80.0,-12.96466,-12.466993951937516,-80.0,-13.54017,-13.017851117736628
-70.0,3.26472,3.5762571643767065,-70.0,-9.91446,-8.98667064122915,-70.0,-12.30282,-11.32166591667246,-70.0,-13.19486,-12.212487417344152,-70.0,-13.79915,-12.755284931032598
