name_values,min,max
V1,50.0,250.0
I1,-56.544,82.534
V2,50.0,240.0
I2,-59.708,75.057
V3,50.0,240.0
I3,-61.069,73.537
V4,50.0,250.0
I4,-62.142,73.339
V5,50.0,250.0
I5,-63.021,73.641
