mV_1,uA_1,filter_uA_1,mV_2,uA_2,filter_uA_2,mV_3,uA_3,filter_uA_3,mV_4,uA_4,filter_uA_4,mV_5,uA_5,filter_uA_5
-200.0,2.54532,2.545319999886432,-200.0,-17.68384,-17.683840000109917,-200.0,-20.53261,-20.53261000014348,-200.0,-21.74118,-21.74118000016105,-200.0,-22.51812,-22.518120000170846
-190.0,2.54532,2.8796153696477664,-190.0,-16.96445,-16.535853775630024,-190.0,-19.78444,-19.31696870551115,-190.0,-20.99301,-20.503790958037076,-190.0,-21.74118,-21.264106783403406
-180.0,2.54532,3.2034888829976707,-180.0,-16.30261,-15.408358385590137,-180.0,-19.09384,-18.122448990387543,-180.0,-20.30241,-19.28752031795728,-180.0,-21.07934,-20.031328421237795
-170.0,2.54532,3.506751488479402,-170.0,-15.75588,-14.321104763301847,-170.0,-18.48955,-16.96940408934431,-170.0,-19.66935,-18.112727726946655,-170.0,-20.4175,-18.84025627550586
-160.0,7.17817,3.7797458550601553,-160.0,-6.17364,-13.292282706223398,-160.0,-8.30303,-15.876562378571618,-160.0,-9.2814,-16.998163133200837,-160.0,-9.88569,-17.709741273227987
-150.0,3.40859,4.013696012991813,-150.0,-12.5618,-12.3376877753096,-150.0,-15.03649,-14.860156596391079,-150.0,-16.12996,-15.960098097962357,-150.0,-16.7918,-16.656138717097445
-140.0,3.26472,4.200994794869953,-140.0,-12.50425,-11.470130936904095,-140.0,-14.95016,-13.933312185071347,-140.0,-16.04364,-15.011718910262145,-140.0,-16.73424,-15.692698835565075
-130.0,3.20716,4.335355348705257,-130.0,-12.24527,-10.699270706467976,-130.0,-14.71996,-13.105890927335201,-130.0,-15.78466,-14.162983262912205,-130.0,-16.44649,-14.829429469672514
-120.0,3.17838,4.411920375701964,-120.0,-11.92875,-10.031714006857221,-120.0,-14.40343,-12.38463141866934,-120.0,-15.46812,-13.420780736234883,-120.0,-16.12996,-14.07327073977924
-110.0,3.14961,4.427509465655864,-110.0,-11.64098,-9.471037728261761,-110.0,-14.05813,-11.7732177181997,-110.0,-15.15159,-12.789022498886618,-110.0,-15.81343,-13.428202726600407
