mV_1,uA_1,filter_uA_1,mV_2,uA_2,filter_uA_2,mV_3,uA_3,filter_uA_3,mV_4,uA_4,filter_uA_4,mV_5,uA_5,filter_uA_5
-200.0,3.3798,3.3797999999085113,-200.0,-15.75588,-15.755880000107792,-200.0,-18.71975,-18.71975000013386,-200.0,-20.12975,-20.129750000164904,-200.0,-20.96424,-20.964240000180443
-190.0,3.3798,3.6921709040177877,-190.0,-15.09404,-14.669491260096096,-190.0,-18.02914,-17.569396683075524,-190.0,-19.46792,-18.953984407051436,-190.0,-20.27363,-19.766116580628125
-180.0,3.3798,3.9935623237161195,-180.0,-14.46098,-13.603414490627754,-180.0,-17.39608,-16.43982417862755,-180.0,-18.80608,-17.798912642730652,-180.0,-19.61179,-18.588798363181432
-170.0,3.3798,4.273262840834144,-170.0,-13.91425,-12.577228484149067,-170.0,-16.82058,-15.351066241957929,-170.0,-18.20179,-16.684495559581848,-170.0,-19.0075,-17.452355372053656
-160.0,7.46592,4.52115969199678,-160.0,-5.10895,-11.60896653076741,-160.0,-7.35344,-14.321574419935164,-160.0,-8.47569,-15.629133570698889,-160.0,-9.07997,-16.375291907779097
-150.0,4.15674,4.728122007813947,-150.0,-10.89283,-10.714286498948562,-150.0,-13.51139,-13.367358758257778,-150.0,-14.74874,-14.648809607779725,-150.0,-15.46812,-15.373686675983357
-140.0,4.04164,4.8863395499598115,-140.0,-10.8065,-9.905857877103077,-140.0,-13.42507,-12.501357112353592,-140.0,-14.69119,-13.756464701897123,-140.0,-15.3818,-14.460570493139132
-130.0,3.98409,4.989552295675301,-130.0,-10.57629,-9.193134593385471,-130.0,-13.19486,-11.733218886014777,-130.0,-14.43221,-12.96180106596806,-130.0,-15.15159,-13.64574088050457
-120.0,3.92655,5.033251735133885,-120.0,-10.31732,-8.582377838302861,-120.0,-12.9071,-11.069362748748285,-120.0,-14.14445,-12.271371638257733,-120.0,-14.83507,-12.935871081256842
-110.0,3.92655,5.015010207090457,-110.0,-10.00078,-8.076613409148061,-110.0,-12.5618,-10.512972182648799,-110.0,-13.82792,-11.688611809873063,-110.0,-14.48976,-12.334563137776644
-100.0,3.89777,4.935043676438636,-100.0,-9.71303,-7.675282777428327,-100.0,-12.24527,-10.063669817295333,-100.0,-13.51139,-11.213545550949926,-100.0,-14.20201,-11.842071787700878
