name_values,min,max
V1,50.0,240.0
I1,-52.771,76.82
V2,50.0,240.0
I2,-56.337,70.344
V3,50.0,240.0
I3,-58.215,69.692
V4,50.0,240.0
I4,-59.543,69.934
V5,50.0,250.0
I5,-60.566,70.85
