mV_1,uA_1,filter_uA_1,mV_2,uA_2,filter_uA_2,mV_3,uA_3,filter_uA_3,mV_4,uA_4,filter_uA_4,mV_5,uA_5,filter_uA_5
-200.0,2.54532,2.545319999751926,-200.0,-16.64792,-16.647920000247733,-200.0,-19.58302,-19.583020000257495,-200.0,-21.05056,-21.050560000253093,-200.0,-21.94261,-21.942610000240858
-190.0,2.51654,2.8670712984772733,-190.0,-16.01486,-15.550480871320955,-190.0,-18.89241,-18.40936468801995,-190.0,-20.30241,-19.84120886981081,-190.0,-21.19444,-20.71006043427926
-180.0,2.54532,3.179544296651193,-180.0,-15.41058,-14.471927931899813,-180.0,-18.23057,-17.25557235041389,-180.0,-19.69812,-18.652079439986665,-180.0,-20.53261,-19.498003100810607
-170.0,2.51654,3.4736297510711056,-170.0,-14.86384,-13.430511106401614,-170.0,-17.68384,-16.14081852711286,-170.0,-19.09384,-17.502693292741682,-170.0,-19.92832,-18.326212528232396
-160.0,6.94798,3.7406228758550717,-160.0,-5.68446,-12.44312046462767,-160.0,-7.81385,-15.082812831990076,-160.0,-8.93609,-16.41107758090326,-160.0,-9.59793,-17.212933278398523
-150.0,3.40859,3.972512672803277,-150.0,-11.69854,-11.524536633199418,-150.0,-14.23078,-14.096996367162866,-150.0,-15.4969,-15.392944301880952,-150.0,-16.24506,-16.17404375918615
-140.0,3.26472,4.162218132452107,-140.0,-11.64098,-10.68690008654883,-140.0,-14.17323,-13.195978427981503,-140.0,-15.41058,-14.461114553045538,-140.0,-16.18751,-15.22247353634087
-130.0,3.20716,4.303699671661073,-130.0,-11.38201,-9.93957796351654,-130.0,-13.91425,-12.389406119791296,-130.0,-15.18037,-13.625390243124949,-130.0,-15.92853,-14.368080606410881
-120.0,3.20716,4.392033060084187,-120.0,-11.12303,-9.289289241728122,-120.0,-13.59772,-11.684120145130608,-120.0,-14.86384,-12.89272622316477,-120.0,-15.64078,-13.617838789531591
-110.0,3.17838,4.423617173404827,-110.0,-10.8065,-8.740159681323078,-110.0,-13.28119,-11.084245425065443,-110.0,-14.5473,-12.267342580541264,-110.0,-15.29547,-12.97596763973096
-100.0,3.14961,4.39663400450568,-100.0,-10.51875,-8.293453323351196,-100.0,-12.96466,-10.590944560472758,-100.0,-14.20201,-11.750494734677273,-100.0,-14.95016,-12.443715787751731
-90.0,7.84,4.311788027596435,-90.0,-1.82855,-7.9468876093507586,-90.0,-3.69895,-10.20173297621508,-90.0,-4.67732,-11.339793192033696,-90.0,-5.25283,-12.018685820113468
-80.0,3.84022,4.173240763159647,-80.0,-8.2167,-7.693641072766354,-80.0,-10.46119,-9.909469257057227,-80.0,-11.58344,-11.02818675249414,-80.0,-12.27404,-11.693815108979749
-70.0,3.66756,3.9895503089212268,-70.0,-8.38936,-7.521360310089419,-70.0,-10.66262,-9.701344813823981,-70.0,-11.81364,-10.802941584211432,-70.0,-12.47547,-11.456350007867755
-60.0,6.57388,3.7744520445085814,-60.0,-3.35365,-7.411434242878641,-60.0,-5.31038,-9.55815628439779,-60.0,-6.31752,-10.644907916194501,-60.0,-6.95058,-11.28710985457412
-50.0,4.04164,3.54743611724328,-50.0,-7.09446,-7.338583256566114,-50.0,-9.22384,-9.453908660058326,-50.0,-10.34609,-10.528123403582407,-50.0,-10.97915,-11.16009012470764
-40.0,3.86899,3.334105522068153,-40.0,-7.20956,-7.270739660977712,-40.0,-9.3965,-9.355720002578273,-40.0,-10.51875,-10.419720874495207,-40.0,-11.18058,-11.042370429154369
-30.0,7.60981,3.1662587803966726,-30.0,-1.39692,-7.16925705215589,-30.0,-3.20977,-9.2240633243327,-30.0,-4.21692,-10.28017311111135,-30.0,-4.79243,-10.894358721703068
-20.0,4.5596,3.081623978983737,-20.0,-5.54058,-6.989514024466242,-20.0,-7.58364,-9.013410475135684,-20.0,-8.64834,-10.063936951718976,-20.0,-9.25263,-10.670433552620008
-10.0,4.32941,3.1231403584255295,-10.0,-5.85712,-6.682023803883838,-10.0,-7.8714,-8.673391250707123,-10.0,-8.96487,-9.720609142506664,-10.0,-9.56915,-10.320097401307558
0.0,4.15674,3.3376997659312955,0.0,-5.91467,-6.19414890809194,0.0,-7.95772,-8.150569331114093,0.0,-9.05119,-9.196696415497986,0.0,-9.65548,-9.789744972824986
10.0,4.07042,3.774387255948258,10.0,-5.91467,-5.472343332864932,10.0,-7.92895,-7.390752496617632,10.0,-9.02241,-8.437915898148265,10.0,-9.65548,-9.02496265015326
20.0,4.01287,4.482367724281782,20.0,-5.82834,-4.464691873995642,20.0,-7.90018,-6.3415940221446325,20.0,-8.96487,-7.391778960127672,20.0,-9.56915,-7.9731100115219595
30.0,3.95531,5.508578020975298,30.0,-5.77079,-3.1235102771624805,30.0,-7.78507,-4.955235634957948,30.0,-8.87854,-6.010206475021558,30.0,-9.5116,-6.5859281688742755
40.0,9.59531,6.895365166684268,40.0,1.94103,-1.4078183847156434,40.0,0.27205,-3.190793882862756,40.0,-0.70631,-4.251978170193399,40.0,-1.19549,-4.821975190739286
50.0,5.62429,8.678161078698722,50.0,-2.97957,0.7144091211536179,50.0,-4.8212,-1.0165914005511625,50.0,-5.82834,-2.0849214516459633,50.0,-6.40385,-2.648794462565483
60.0,5.19267,10.883234636442003,60.0,-3.46875,3.2642132518868823,60.0,-5.33915,1.5878590532814882,60.0,-6.40385,0.5121457490904125,60.0,-6.95058,-0.0448345258219575
70.0,14.68858,13.525649458704535,70.0,8.04143,6.249927610605646,70.0,6.57388,4.63019478944938,70.0,5.71062,3.547787624725104,70.0,5.19267,2.998944586283659
80.0,8.99102,16.607694666801322,80.0,1.48063,9.666021601470154,80.0,-0.1308,8.104125301653982,80.0,-1.16672,7.0168898109097855,80.0,-1.65589,6.478027611892531
90.0,8.01267,20.118068972594145,90.0,0.41594,13.49278884740258,90.0,-1.33937,11.989213022531542,90.0,-2.28895,10.900435679376157,90.0,-2.83569,10.374132423953872
100.0,49.70832,24.032035937488953,100.0,45.2769,17.697082837883737,100.0,44.58628,16.251709095538118,100.0,43.60792,15.16631037266681,100.0,43.37772,14.656019284410425
110.0,34.62997,28.312364903097393,110.0,29.68059,22.23388239775933,110.0,28.47202,20.846215111394848,110.0,27.57999,19.77090091071124,110.0,27.23467,19.28108387215283
120.0,30.80283,32.91000417490088,120.0,25.24918,27.047547113229808,120.0,24.21325,25.71700378064117,120.0,23.11979,24.660324552991195,120.0,22.68815,24.19655567131273
130.0,28.21304,37.76329100976448,130.0,22.80325,32.071447841898824,130.0,21.45081,30.797651486378317,130.0,20.44366,29.76993934876744,130.0,20.12714,29.338945627710498
140.0,26.57284,42.7958360502262,140.0,20.78898,37.22606498898224,140.0,19.63796,36.00906805406705,140.0,18.57327,35.022228932528684,140.0,18.0553,34.63183529093501
150.0,25.07651,47.91468764040953,150.0,19.49407,42.41721861444199,150.0,18.11285,41.25761018536965,150.0,17.04815,40.324760803281286,150.0,16.73164,39.983717302709664
160.0,24.06938,53.01080628608227,160.0,18.22795,47.53654827101481,160.0,16.96183,46.43542767053788,160.0,15.98346,45.57038147110804,160.0,15.40795,45.28806519692965
170.0,99.74887,57.96339435974716,170.0,95.66275,52.46584457215175,170.0,94.91459,51.42466919380425,170.0,94.08011,50.64128743425044,170.0,94.10887,50.42728571885024
180.0,80.32542,62.647986642145206,180.0,75.34727,57.08513901095433,180.0,74.2538,56.1054644797015,180.0,73.47686,55.416896125099214,180.0,73.074,55.28048701335311
190.0,73.39053,66.94571554706214,190.0,68.09585,61.28190575143179,190.0,66.94483,60.365029909173124,190.0,65.85137,59.782866741419454,190.0,65.62116,59.73241411109482
200.0,68.6138,70.75034065164051,200.0,63.26158,64.9578918732631,200.0,61.85157,64.10440887602573,200.0,61.01709,63.63778976608034,200.0,60.64301,63.680073486375164
210.0,65.13197,73.9717872485612,210.0,59.43443,68.03229812547274,210.0,58.25463,67.24158839268766,210.0,57.1324,66.89630963861308,210.0,56.78708,67.03582776191534
220.0,62.053,76.53758647720066,220.0,56.61443,70.44272726338114,220.0,55.06056,69.71244954471842,220.0,54.16851,69.4901740348062,220.0,53.82322,69.72848273376907
230.0,59.75096,78.39446323348174,230.0,53.90954,72.14616946280601,230.0,52.6722,71.47186222195141,230.0,51.57873,71.36955859855226,230.0,51.11832,71.70474719484734
240.0,133.58882,79.5116619360647,240.0,124.86985,73.12162723134443,240.0,125.81944,72.49654862698657,240.0,127.66107,72.50631643243312,240.0,128.8121,72.93273982407258
250.0,97.07276,79.88576267187706,250.0,89.07316,73.374188397919,250.0,89.18827,72.78949314253143,250.0,90.42561,72.89889798734171,250.0,92.06581,73.40728059856569
260.0,85.87909,79.54437833673919,260.0,78.3687,72.93808127757976,260.0,78.13849,72.38332771688385,260.0,79.05931,72.57624616973479,260.0,80.26787,73.15419685381772
270.0,78.8291,78.54577799372028,270.0,71.63523,71.87591848944474,270.0,71.3187,71.33978241282448,270.0,71.8942,71.59759980404978,270.0,72.93013,72.23045747970951
280.0,73.64951,76.97394987453654,280.0,66.80095,70.27369929484338,280.0,66.25422,69.74473358711636,280.0,66.77217,70.0476652360344,280.0,67.63543,70.71951178729458
