name_values,min,max
V1,50.0,250.0
I1,-54.572,79.886
V2,50.0,250.0
I2,-58.098,73.374
V3,50.0,250.0
I3,-59.967,72.789
V4,50.0,250.0
I4,-61.257,72.899
V5,50.0,250.0
I5,-62.276,73.407
