name_values,min,max
V1,50.0,240.0
A1,-53.389,75.719
V2,50.0,240.0
A2,-56.816,69.695
V3,50.0,240.0
A3,-58.485,68.969
V4,50.0,240.0
A4,-59.668,69.409
V5,50.0,240.0
A5,-60.64,70.006
