mV_1,uA_1,filter_uA_1,mV_2,uA_2,filter_uA_2,mV_3,uA_3,filter_uA_3,mV_4,uA_4,filter_uA_4,mV_5,uA_5,filter_uA_5
130.0,30.51508,40.180729826796195,130.0,25.42182,34.91332222386555,130.0,24.18448,33.582074677195436,130.0,22.83204,32.36113570483913,130.0,22.45794,32.00023123874163
140.0,28.6159,45.05217737594839,140.0,23.37876,39.89726692905721,140.0,21.93999,38.62376208715419,140.0,20.78898,37.456654081800316,140.0,20.44366,37.15058991156538
150.0,26.9757,49.89969485193094,150.0,21.79611,44.806895681310166,150.0,20.44366,43.59152783943135,150.0,19.11999,42.50400457139853,150.0,18.68836,42.26247792905559
160.0,25.93979,54.611956615781374,160.0,20.44366,49.532490197323106,160.0,19.06245,48.37585743655812,160.0,17.9402,47.39438225876215,160.0,17.56612,47.22733618217758
170.0,104.89968,59.071508813804584,170.0,101.33153,53.96003572970303,170.0,100.5258,52.86276530290487,170.0,99.34601,52.013213610789315,170.0,99.31724,51.93025947573559
180.0,83.74971,63.163654815879795,180.0,78.68522,57.97998343991534,180.0,77.70686,56.942484043047166,180.0,76.55583,56.2486825108526,180.0,76.32564,56.2584181112153
190.0,75.77889,66.78617657496419,190.0,70.77197,61.49679100230697,190.0,69.36197,60.518944733605586,190.0,68.1534,60.00110740409227,190.0,67.86564,60.11036417383503
200.0,70.80075,69.85622618896889,200.0,65.21829,64.43552230540676,200.0,64.03851,63.51631831224778,200.0,62.82994,63.18946896975886,200.0,62.51341,63.40252782392022
210.0,66.68585,72.31299378500108,210.0,61.27606,66.74411628094255,210.0,59.75096,65.88124494086415,210.0,58.62871,65.7537551261658,210.0,58.28341,66.0715927608156
220.0,63.54933,74.11751070478105,220.0,57.90934,68.39273049764235,220.0,56.58565,67.58219758549089,220.0,55.37709,67.65461613358968,220.0,54.97423,68.07428001310126
230.0,60.90198,75.25179844101712,230.0,55.20444,69.37240474739642,230.0,53.65056,68.60826659407032,230.0,52.61464,68.87266415720528,230.0,52.24056,69.38691318042441
240.0,112.20865,75.71896043526591,240.0,105.10111,69.69465184744243,240.0,106.45355,68.96899361229035,240.0,111.28783,69.4090674511618,240.0,114.71212,70.00643547563159
250.0,86.33949,75.54435762026846,250.0,79.1744,69.39213783858614,250.0,79.03053,68.69538032211663,250.0,81.21746,69.28747409431718,250.0,82.8289,69.9528595184628
260.0,77.90828,74.77622746407123,260.0,70.88707,68.51887636124242,260.0,70.51299,67.840382632776,260.0,72.09563,68.55532249414178,260.0,73.24667,69.27104738774504
270.0,72.35463,73.48376218202392,270.0,65.62116,67.14803845755728,270.0,64.9881,66.4768734305717,270.0,66.19666,67.28225775559359,270.0,67.14625,68.0293745241907
280.0,68.21095,71.75232848213753,280.0,61.5926,65.36710473227171,280.0,60.95953,64.6927777281747,280.0,61.90912,65.55529671263113,280.0,62.68605,66.3148864880444
290.0,64.93054,69.67711743208159,290.0,58.42728,63.27162749921264,290.0,57.65034,62.58470890872277,290.0,58.48484,63.472197908032,290.0,59.17546,64.22648975429843
300.0,62.053,67.35663680019351,300.0,55.72239,60.9589597391147,300.0,54.91669,60.25152827217258,300.0,55.57852,61.13460932292201,300.0,56.15403,61.8678438303367
310.0,59.80851,64.88687925472404,310.0,53.53546,58.522729819166216,310.0,52.6722,57.78864340505412,310.0,53.27649,58.641905264301876,310.0,53.82322,59.34092266287664
320.0,57.7079,62.35657326491052,320.0,51.63627,56.048426609118046,320.0,50.71546,55.283429357922586,320.0,51.20465,56.08615253567219,320.0,51.66505,56.74071685923854
330.0,55.9526,59.843684327365956,330.0,49.88098,53.61023075352092,330.0,48.98894,52.81192035178378,330.0,49.42056,53.54838865682873,330.0,49.8522,54.15127813232809
340.0,54.25484,57.413173713302356,340.0,48.38465,51.26907582129903,340.0,47.43506,50.436762144542016,340.0,47.78036,51.09622323938422,340.0,48.15444,51.643127097321
350.0,52.84485,55.115916887664575,350.0,46.97466,49.0718258534153,350.0,46.05384,48.20631289999452,350.0,46.39913,48.782661331805166,350.0,46.74445,49.271927453607084
360.0,51.4924,52.98862112070669,360.0,45.76608,47.05140023357969,360.0,44.75893,46.15472099735363,360.0,45.04669,46.64598019129287,360.0,45.36322,47.07825822653191
370.0,50.25506,51.05454931288873,370.0,44.52874,45.227650344772435,370.0,43.60792,44.30278024991087,370.0,43.83812,44.71045602119961,370.0,44.12588,45.088277784905245
380.0,49.16159,49.32484618487076,380.0,43.60792,43.60878687379639,380.0,42.60079,42.65935720858782,380.0,42.80221,42.987726692103735,380.0,43.06119,43.31506057826768
390.0,48.12568,47.800268813464065,390.0,42.62955,42.19316583249264,390.0,41.65118,41.22319397031626,390.0,41.82385,41.478583752463244,390.0,42.05404,41.76039362855805
400.0,47.20485,46.47314065376333,400.0,41.73752,40.97125892783102,400.0,40.73037,39.98490737434315,400.0,40.90302,40.175004402669146,400.0,41.13323,40.41683705054049
410.0,46.25526,45.32937185026414,410.0,40.93181,39.92765711033419,410.0,39.95344,38.92902967650375,410.0,40.03976,39.06225764970555,410.0,40.24119,39.269876664499044
420.0,45.47833,44.35041684988938,420.0,40.12608,39.04298535876879,420.0,39.1765,38.035965551300585,420.0,39.2916,38.12094849511023,420.0,39.49303,38.30002644177431
430.0,44.58628,43.515071609251024,430.0,39.40671,38.295639274209535,430.0,38.37078,37.28377195877027,430.0,38.4571,37.32889722497492,430.0,38.62977,37.4847719415048
440.0,43.95323,42.80104407112928,440.0,38.74486,37.66328515523765,440.0,37.79527,36.6496983777195,440.0,37.8816,36.66278333814421,440.0,38.05426,36.800279218730644
450.0,43.20506,42.186259777202494,450.0,38.16935,37.124091971424534,450.0,37.13344,36.11145357496997,450.0,37.16222,36.099512720344194,450.0,37.33487,36.222823949823784
460.0,42.572,41.649887230952324,460.0,37.5363,36.65768436658114,460.0,36.58671,35.64818787104902,460.0,36.61547,35.617290643206566,460.0,36.75936,35.72992037853462
470.0,41.96772,41.173085177543186,470.0,36.98957,36.24582131822058,470.0,35.98242,35.24119581161885,470.0,36.0112,35.19640192246393,470.0,36.12629,35.3011492060043
480.0,41.36343,40.73948796641638,480.0,36.44282,35.87281835635633,480.0,35.49324,34.87435695191754,480.0,35.46446,34.819714749216764,480.0,35.60834,34.91870015783896
490.0,40.8167,40.33545576005691,490.0,35.95364,35.525742746290575,490.0,34.94651,34.53434371683777,490.0,34.94651,34.47293694444327,490.0,35.09038,34.567658573860996
500.0,40.21241,39.95012354827704,500.0,35.46446,35.19441846568213,500.0,34.48609,34.210633296753564,500.0,34.42855,34.14466223135671,500.0,34.54365,34.236073890609454
510.0,39.78079,39.57528778785996,510.0,35.00405,34.871280606865284,510.0,34.05447,33.895364502367755,510.0,34.02568,33.82624914459014,510.0,34.14079,33.91485183546462
520.0,39.23404,39.20517162979988,520.0,34.60119,34.55111862490366,520.0,33.62283,33.58308065138565,520.0,33.5365,33.51157592835556,520.0,33.65161,33.59751328844654
530.0,38.8312,38.83610782252248,530.0,34.14079,34.23074566922307,530.0,33.21997,33.270396361151036,530.0,33.19121,33.1967117017209,530.0,33.24875,33.279861128379615
540.0,38.34202,38.46617350893463,540.0,33.82426,33.90862738891914,540.0,32.81713,32.955621414087275,540.0,32.7308,32.87953915167032,540.0,32.81713,32.95959244695957
550.0,37.93916,38.09480575413842,550.0,33.39263,33.58449856961001,550.0,32.47181,32.63837042695912,550.0,32.41427,32.559358744907485,550.0,32.47181,32.63588900189904
560.0,37.50752,37.72242187316505,560.0,33.0761,33.25899026121257,560.0,32.06895,32.31918271907759,560.0,31.98262,32.23649948866531,560.0,32.04019,32.3090139207409
570.0,37.10466,37.350064339755825,570.0,32.67324,32.93328470364554,570.0,31.7812,31.99917204124322,570.0,31.66609,31.911956737103736,570.0,31.72365,31.979937246868182
580.0,36.73058,36.979086017792184,580.0,32.3567,32.6088115020179,580.0,31.40712,31.679721037742507,580.0,31.32079,31.58707345165473,580.0,31.37834,31.650007793728424
590.0,36.3565,36.61088745735518,590.0,32.04019,32.286995797744915,590.0,31.11937,31.3622307135322,590.0,31.00426,31.263277133541493,590.0,31.06182,31.320683761005466
600.0,36.03996,36.24671373958586,600.0,31.72365,31.96906614064078,600.0,30.80283,31.047931042581556,600.0,30.7165,30.941879834139105,600.0,30.77407,30.993328924204853
600.0,35.63712,35.887513929662965,600.0,31.46468,31.65592576161748,600.0,30.54386,30.7377553793465,600.0,30.39999,30.623943783569768,600.0,30.42875,30.669075865100446
590.0,35.37813,35.53386256518045,590.0,31.14815,31.348086805623108,590.0,30.2561,30.432277955513683,590.0,30.141,30.310211230260805,590.0,30.19856,30.348753992631814
580.0,35.00405,35.18594032429394,580.0,30.91793,31.045663824191028,580.0,29.96835,30.1317104258217,580.0,29.82446,30.00109438745683,580.0,29.85324,30.032877884106995
570.0,34.7163,34.84356931751195,570.0,30.6014,30.748420724925545,570.0,29.73814,29.83595127433669,570.0,29.62305,29.69671965051655,570.0,29.62305,29.721689888348163
560.0,34.42855,34.50629689218342,560.0,30.42875,30.455864106976037,560.0,29.47916,29.544680941250373,560.0,29.3353,29.39701859084938,560.0,29.36406,29.41524955710859
550.0,34.14079,34.17352045431788,550.0,30.11223,30.16737468156713,550.0,29.24895,29.25749429264889,550.0,29.10508,29.10185598756879,550.0,29.13387,29.113560769501927
540.0,33.85304,33.844644046600116,540.0,29.9108,29.882366968198248,540.0,28.98998,28.974060225077,540.0,28.84611,28.811183196877266,540.0,28.84611,28.816724973853034
