cmmin,Imin,cmmax,Imax
-28.194,-53.389,36.36,75.719
-29.908,-56.816,33.348,69.695
-30.742,-58.485,32.984,68.969
-31.334,-59.668,33.204,69.409
-31.82,-60.64,33.503,70.006
