mV_1,uA_1,filter_uA_1,mV_2,uA_2,filter_uA_2,mV_3,uA_3,filter_uA_3,mV_4,uA_4,filter_uA_4,mV_5,uA_5,filter_uA_5
20.0,2.77553,3.399369260242467,20.0,-8.67712,-6.9335842757755355,20.0,-11.23813,-9.236319934401873,20.0,-12.47547,-10.367720448946868,20.0,-13.25241,-11.061507689066778
30.0,2.74675,4.55096660817184,30.0,-8.61956,-5.361442939373614,30.0,-11.12303,-7.595580102817156,30.0,-12.38915,-8.690703433004423,30.0,-13.16609,-9.366841549826573
40.0,9.22123,6.1033746811305685,40.0,0.55981,-3.363874018376489,40.0,-1.48324,-5.523409927635976,40.0,-2.46161,-6.5785898510700065,40.0,-3.03712,-7.235119804502914
50.0,4.70349,8.096652742691719,50.0,-5.22406,-0.9053103942430997,50.0,-7.43977,-2.9849808048731377,50.0,-8.56201,-3.9967875908073496,50.0,-9.2814,-4.631596860111413
60.0,4.18552,10.561049761295305,60.0,-5.79957,2.037469140292825,60.0,-8.13038,0.041810713795957626,60.0,-9.25263,-0.9235856058223729,60.0,-9.94323,-1.534396895672515
70.0,15.17776,13.514809708551088,70.0,7.86878,5.473517340280244,70.0,6.17104,3.564607943489192,70.0,5.3941,2.648160175018703,70.0,4.90492,2.063842778022237
80.0,8.61694,16.962491223692716,80.0,0.27205,9.39655087050066,80.0,-1.71345,7.575541519587314,80.0,-2.69181,6.710038884370078,80.0,-3.20977,6.155033431099729
90.0,7.49471,20.894100350077736,90.0,-1.10917,13.784737663586764,90.0,-3.15223,12.051158035792463,90.0,-4.07304,11.238090928403883,90.0,-4.73487,10.715694742271829
100.0,54.36994,25.285264276378182,100.0,50.25506,18.60164765686633,100.0,49.47812,16.95353220831733,100.0,49.21913,16.194005802350414,100.0,49.30547,15.708203910439925
110.0,37.68017,30.098228231869644,110.0,32.96099,23.79810681172276,110.0,31.72365,22.232287833867552,110.0,31.4359,21.527226308579458,110.0,31.23447,21.08293820715413
120.0,33.33507,35.282485562946,120.0,27.98283,29.313643703683635,120.0,26.88937,27.826179990224038,120.0,26.25631,27.17658612983526,120.0,26.02611,26.779916481653213
130.0,30.45753,40.77368430165695,130.0,25.13407,35.0759979751159,130.0,23.66652,33.662660884770645,130.0,23.17733,33.06987284657443,130.0,22.9759,32.728307373110006
140.0,28.6159,46.49094776241559,140.0,22.8608,40.99875164163193,140.0,21.62346,39.655473823091455,140.0,20.96162,39.121354702728624,140.0,20.55877,38.843836836974205
150.0,26.9757,52.334404314463086,150.0,21.36449,46.97895112107293,150.0,19.81061,45.70216770247224,150.0,19.17754,45.22918678872988,150.0,18.94735,45.02602798428298
160.0,25.82468,58.18521122644602,160.0,19.89693,52.89713118765944,160.0,18.48693,51.68398336218426,160.0,17.88265,51.27517992542776,160.0,17.42223,51.15778352669695
170.0,108.72681,63.90983045934402,170.0,105.01478,58.621592753569445,170.0,104.32417,57.469997332065624,170.0,104.35295,57.12884193761979,170.0,104.69825,57.10924573934218
180.0,88.06603,69.36851933841466,180.0,83.54827,64.01691788809333,180.0,82.45482,62.92551937435576,180.0,82.36847,62.65569307890791,180.0,82.25339,62.7459491694022
190.0,80.67073,74.42526204135586,190.0,75.6638,68.95387981291526,190.0,74.54155,67.92188784637769,190.0,74.05237,67.72698178929251,190.0,73.99482,67.93838955135148
200.0,75.49114,78.95544366379124,200.0,70.39789,73.31694926320853,200.0,68.95912,72.3438465023315,200.0,68.64258,72.22696496189863,200.0,68.4987,72.56917070500945
210.0,71.75034,82.8499129010351,210.0,66.19666,77.00799943053329,210.0,64.95932,76.09311603490991,210.0,64.35503,76.05637601518957,210.0,64.12484,76.53637329913263
220.0,68.41237,86.0169890321098,220.0,63.03137,79.94778770052655,220.0,61.41995,79.08977875005776,220.0,60.98831,79.13373855467823,220.0,60.81566,79.75484626677928
230.0,65.85137,88.38492925651083,230.0,60.06748,82.0777618736897,230.0,58.71504,81.27406952485708,230.0,58.11076,81.39716367146526,230.0,57.76545,82.1581084511354
240.0,152.83962,89.9066483640668,240.0,145.15655,83.36399724166931,240.0,144.23575,82.6104144341005,240.0,143.94801,82.80850836324682,240.0,144.03432,83.70278479726532
250.0,113.04314,90.56635309214388,250.0,104.38172,83.80296326877769,250.0,104.7558,83.09342474418295,250.0,106.25213,83.35961985145059,250.0,109.64763,84.37532669573265
260.0,99.46111,90.38494436003015,260.0,91.20255,83.4260855098488,260.0,91.08744,82.75276794442576,260.0,92.18092,83.07755621331538,260.0,94.54051,84.197852449941
270.0,90.91479,89.42055395443215,270.0,82.85766,82.29963605395609,270.0,82.59869,81.65335278378957,270.0,83.4044,82.02512325625871,270.0,85.33236,83.22928109927528
280.0,84.64175,87.76346094178699,280.0,76.90115,80.51931605840876,280.0,76.41196,79.89010089819524,280.0,77.0738,80.29588878361112,280.0,78.77155,81.56073466768102
290.0,79.80747,85.5274648898446,290.0,72.18197,78.20161256480354,290.0,71.66401,77.57936012798378,290.0,72.21074,78.00568267295729,290.0,73.64951,79.30714933702983
300.0,75.69257,82.84013915786183,300.0,68.29728,75.47427935583744,300.0,67.66422,74.8493395605295,300.0,68.09585,75.28298997018422,300.0,69.47706,76.59756046767906
310.0,72.44095,79.83348725967613,310.0,65.18953,72.46737625783308,310.0,64.49892,71.83104406263068,310.0,64.93054,72.25976514976976,310.0,66.08156,73.56568019852031
320.0,69.59217,76.63582593198048,320.0,62.45586,69.30561610124896,320.0,61.73646,68.65048982053978,320.0,62.02422,69.06348883692955,320.0,63.17523,70.34165749473233
330.0,67.05993,73.36531619672493,330.0,60.09626,66.10238331237456,330.0,59.29055,65.42258621195855,330.0,59.60708,65.81087884555323,330.0,60.64301,67.04547857549503
340.0,64.873,70.12528794405495,340.0,57.96688,62.955527629882035,340.0,57.21872,62.24680174760696,340.0,57.39137,62.603391329613075,340.0,58.36974,63.782174288615586
350.0,62.82994,67.00131489766657,350.0,56.15403,59.94486116139873,350.0,55.26199,59.20455091668601,350.0,55.4922,59.524461628617104,350.0,56.413,60.63880256434831
360.0,61.10341,64.05987494439643,360.0,54.39872,57.13117571114783,360.0,53.593,56.35812305231618,360.0,53.76566,56.6383143797709,360.0,54.57137,57.6830454569468
370.0,59.34811,61.34835827320733,370.0,52.84485,54.55653320569749,370.0,51.9528,53.750907364857724,370.0,52.09669,53.99010064798592,370.0,52.95995,54.96318341590677
380.0,57.99566,58.89614995794509,380.0,51.52118,52.24555405566543,380.0,50.62914,51.40863830568227,380.0,50.80179,51.607085137787834,380.0,51.52118,52.50917094810408
390.0,56.58565,56.71650538220182,390.0,50.28382,50.20742656973182,390.0,49.36302,49.34138219963732,390.0,49.44934,49.500600398313445,390.0,50.22628,50.33452758247912
400.0,55.34831,54.80894751029864,400.0,49.10404,48.43837444047197,400.0,48.18322,47.545999639414084,400.0,48.29832,47.66849740999309,400.0,48.96016,48.43876722168482
410.0,54.19729,53.16193899144723,410.0,48.01057,46.92434421940386,410.0,47.11853,46.008842969919534,410.0,47.14731,46.09784702592146,410.0,47.83792,46.810112719208725
420.0,53.07506,51.75561710556329,420.0,47.06098,45.64371076071683,420.0,46.05384,44.70848324848069,420.0,46.14016,44.76768295895186,420.0,46.80199,45.42827855792069
430.0,52.01037,50.564421750727135,430.0,45.99629,44.569841926597434,430.0,45.10425,43.61830389470788,430.0,45.10425,43.65162066684977,430.0,45.70854,44.2671479537587
440.0,51.08954,49.55949130006187,440.0,45.24812,43.67340788474903,440.0,44.26975,42.70884330864763,440.0,44.29853,42.72023152362053,440.0,44.90282,43.29721583725359
450.0,50.25506,48.71074369695279,450.0,44.38485,42.92436110747557,450.0,43.46405,41.94981001297449,450.0,43.46405,41.94309303864195,450.0,44.01078,42.487711989515134
460.0,49.36302,47.988595577961874,460.0,43.66548,42.293547596473324,460.0,42.65833,41.31172774583922,460.0,42.65833,41.29047026958276,460.0,43.26262,41.808355111608215
470.0,48.61486,47.36529971004238,470.0,42.9173,41.7539369095293,470.0,41.96772,40.76719569824643,470.0,41.96772,40.734611520311425,470.0,42.48568,41.23071737740496
480.0,47.83792,46.815904543035295,480.0,42.25547,41.28148092126716,480.0,41.2771,40.29177339084985,480.0,41.21956,40.25066575014733,480.0,41.76628,40.729203052112126
490.0,47.11853,46.31886031954521,490.0,41.59364,40.855630122192494,490.0,40.61527,39.86451937184592,490.0,40.64405,39.817249482821495,490.0,41.10445,40.28166585838709
500.0,46.42791,45.85631178445072,500.0,40.96059,40.459550258172506,500.0,40.01098,39.4682263524203,500.0,39.92466,39.41670526214846,500.0,40.41384,39.869706475739065
510.0,45.79486,45.414127584799026,510.0,40.44262,40.08009077568394,510.0,39.43547,39.08940363263032,510.0,39.40671,39.03510230967139,510.0,39.89589,39.478702428083515
520.0,45.21935,44.98172118663768,520.0,39.83833,39.70756001728178,520.0,38.91753,38.718061326140116,520.0,38.85996,38.66203442467133,520.0,39.2916,39.09762719750063
530.0,44.58628,44.551717415436656,530.0,39.37793,39.335360741038635,530.0,38.34202,38.3473498365091,530.0,38.31324,38.29026996153629,530.0,38.80242,38.71871403797123
540.0,44.06834,44.11951441523577,540.0,38.8312,38.959535173016796,540.0,37.8816,37.97310413461684,540.0,37.82405,37.915304268587306,540.0,38.22691,38.337014996594505
550.0,43.49281,43.68278579915155,550.0,38.39956,38.57826336711318,550.0,37.39241,37.593337805847426,550.0,37.30609,37.53485938603431,550.0,37.76651,37.949900442454116
560.0,42.97487,43.24096272804501,560.0,37.93916,38.191352461205156,560.0,36.93201,37.20772632286893,560.0,36.93201,37.14837070406164,560.0,37.27732,37.55653989864505
570.0,42.48568,42.79473002772434,570.0,37.47875,37.79974745868604,570.0,36.50039,36.81711207293134,570.0,36.41406,36.756493917934705,570.0,36.8169,37.15739967020799
580.0,41.9965,42.345564240956676,580.0,37.07589,37.405087335138155,580.0,36.06874,36.423056592426754,580.0,36.03996,36.36065762605835,580.0,36.44282,36.753785855973206
590.0,41.59364,41.89533458364907,590.0,36.67303,37.009324465706825,590.0,35.72345,36.0274589066821,590.0,35.60834,35.962679736752875,590.0,35.98242,36.34745341346474
600.0,41.10445,41.44598011814118,600.0,36.32772,36.61441984172281,600.0,35.29181,35.63225210058558,600.0,35.23426,35.56446039122413,600.0,35.63712,35.94029394280652
600.0,40.73037,40.999269224303916,600.0,35.8961,36.22212031823151,600.0,34.97527,35.23918345528898,600.0,34.88895,35.16775883230644,600.0,35.20548,35.5341080512748
590.0,40.26997,40.55664204399847,590.0,35.60834,35.83381847254599,590.0,34.57243,34.84967806663463,590.0,34.51487,34.77405584796287,590.0,34.88895,35.130463272271044
580.0,39.89589,40.11913314691787,580.0,35.20548,35.450491979214796,580.0,34.2559,34.464782304711804,580.0,34.19834,34.38449795192174,580.0,34.51487,34.73063465797709
570.0,39.49303,39.68736936877568,570.0,34.91773,35.0727168609366,570.0,33.93936,34.085180929877176,570.0,33.82426,33.99991536386596,570.0,34.19834,34.33562128355137
560.0,39.1765,39.26163560125293,560.0,34.62997,34.700746311857195,560.0,33.65161,33.71127891094599,560.0,33.59406,33.620903295098714,560.0,33.91058,33.946227947009
550.0,38.77364,38.84199835781403,550.0,34.28466,34.33464368141301,550.0,33.33507,33.343335327691356,550.0,33.21997,33.2479537901637,550.0,33.56528,33.56319761237663
540.0,38.42834,38.4284736920053,540.0,34.02568,33.974455146219846,540.0,32.98977,32.9816335040311,540.0,32.96099,32.88162264901631,540.0,33.27753,33.1873771501831
530.0,38.1118,38.02122429825328,530.0,33.68039,33.62040603148467,530.0,32.75956,32.626670869153635,530.0,32.64446,32.52271411036163,530.0,32.93221,32.81989780758878
520.0,37.73773,37.6207703312444,520.0,33.47896,33.273104863921716,520.0,32.44303,32.279353131629,520.0,32.3567,32.17246593006171,520.0,32.7308,32.462352580866266
510.0,37.47875,37.22819787696341,510.0,33.13364,32.93373917382609,510.0,32.21284,31.94117714568051,510.0,32.12651,31.8327179721523,510.0,32.38548,32.11695307337704
500.0,37.13344,36.84534766930273,500.0,32.93221,32.604246045051354,500.0,31.92508,31.61438505483835,500.0,31.80998,31.506047222049844,500.0,32.18406,31.786647289274253
490.0,36.96079,36.4749647803585,490.0,32.7308,32.28743923843558,490.0,31.75243,31.30207089146189,490.0,31.69487,31.19585122474128,490.0,31.95386,31.475178539399764
480.0,36.55793,36.12078741275659,480.0,32.41427,31.987073297300444,480.0,31.46468,31.00822005655716,480.0,31.34957,30.90636061259969,480.0,31.63733,31.187065310247696
470.0,36.27018,35.78755153150013,470.0,32.18406,31.707824153350487,470.0,31.20569,30.737661953818925,470.0,31.14815,30.642560735562018,470.0,31.4359,30.927483217346246
460.0,36.0112,35.48089127186103,460.0,31.95386,31.45516829449876,460.0,31.03304,30.495918350659096,460.0,30.88917,30.410004979037804,460.0,31.17693,30.702034392275763
450.0,35.72345,35.20712168726324,450.0,31.75243,31.235148060736126,450.0,30.74529,30.288935001990904,450.0,30.68774,30.214508584677816,450.0,30.97549,30.516395851057
440.0,35.52202,34.972895433300074,440.0,31.52222,31.054015109127498,440.0,30.6014,30.122689325820826,440.0,30.45753,30.061718577125692,440.0,30.7165,30.375844253799876
430.0,35.20548,34.78472769640349,430.0,31.34957,30.917747368979263,430.0,30.34243,30.002672035939327,430.0,30.2561,29.95656135089796,430.0,30.57264,30.284660663838515
420.0,35.11916,34.64838761301855,420.0,31.23447,30.831439473065586,420.0,30.28488,29.933246755438358,420.0,30.19856,29.902575799034413,420.0,30.39999,30.245426380166425
410.0,34.74508,34.56816081923659,410.0,30.94671,30.798572730603894,410.0,29.96835,29.9168983884566,410.0,29.82446,29.901146501160905,410.0,30.141,30.25822858620554
400.0,34.51487,34.54599667670135,400.0,30.7165,30.82017904256942,400.0,29.76692,29.95338943586793,400.0,29.70937,29.950659744239836,400.0,29.9108,30.319803788829912
390.0,34.28466,34.58056725870951,390.0,30.54386,30.893927123212457,390.0,29.59427,30.03885669830246,390.0,29.47916,30.045618504829882,390.0,29.73814,30.422660864823563
380.0,34.05447,34.66628235872279,380.0,30.37121,31.01317713988676,380.0,29.36406,30.164897592329744,380.0,29.3353,30.175768647782384,380.0,29.56549,30.554241455710713
370.0,33.85304,34.79231983134197,370.0,30.16978,31.166064214571495,370.0,29.27773,30.31770939632124,370.0,29.13387,30.325300857080343,370.0,29.3353,30.696187200017373
360.0,33.73793,34.94174076080783,360.0,30.16978,31.334679627190418,360.0,29.16263,30.477352857560245,360.0,29.0763,30.472199968837888,360.0,29.3353,30.82378930441637
350.0,33.47896,35.09076562556665,350.0,29.7957,31.49442353481565,350.0,28.90365,30.617214783676697,350.0,28.81733,30.587817243866724,350.0,28.98998,30.90569774234399
340.0,33.21997,35.20829225293371,340.0,29.68059,31.613607091901166,340.0,28.70222,30.703745690436403,340.0,28.6159,30.636742036108785,340.0,28.87487,30.903965446663676
330.0,33.0761,35.25574065050494,330.0,29.47916,31.653386643773707,330.0,28.58712,30.696550937581677,330.0,28.5008,30.57704805099568,330.0,28.67344,30.774498204030756
320.0,32.84589,35.18731156027704,320.0,29.36406,31.56811378671826,320.0,28.41447,30.548912097700708,320.0,28.29937,30.360983340773718,320.0,28.55836,30.467970963592652
310.0,32.67324,34.95073735222694,310.0,29.19141,31.306173512017985,310.0,28.2706,30.208800348766506,310.0,28.21304,29.936155286149088,310.0,28.38569,29.93124868847167
300.0,32.47181,34.488582037084896,300.0,29.04754,30.81135624641289,300.0,28.1555,29.62041387832142,300.0,28.01161,29.24722917003194,300.0,28.24182,29.10931214351016
290.0,32.44303,33.74011287428277,290.0,29.04754,30.024771603926663,290.0,28.12672,28.726229530503236,290.0,28.04039,28.23811341394721,290.0,28.2706,27.947638373166644
280.0,32.15528,32.6437177033876,280.0,28.731,28.887261326291203,280.0,27.86774,27.46950405231397,280.0,27.75264,26.854545946836396,280.0,27.92529,26.394921535340597
270.0,31.92508,31.139778851228918,270.0,28.64468,27.34220523666545,270.0,27.66631,25.797092471666225,270.0,27.60875,25.04692453787951,270.0,27.83896,24.40594263368246
260.0,31.80998,29.17384042042931,260.0,28.44325,25.338539852726026,260.0,27.57999,23.662374681563463,260.0,27.49366,22.77314251981115,260.0,27.66631,21.944311051918387
250.0,31.60855,26.699820687906026,250.0,28.35693,22.833723316629865,250.0,27.4361,21.02799425057014,250.0,27.34978,20.001099507214878,250.0,27.55121,18.9847057464609
